Name: CCTV8电视剧, URL: http://220.187.173.145:4022/rtp/233.50.201.199:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 213.25384615384615fps
Name: CCTV8电视剧, URL: http://ycsj.aguihome.com:4022/rtp/233.50.201.199:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 168.02499999999998fps
Name: CCTV8电视剧, URL: http://ycsj.aguihome.com:4022/rtp/233.50.201.19:5140$720x576, Date: None, Resolution: 720x576, Response Time: 254.28181818181818fps
Name: CCTV9记录, URL: http://ycsj.aguihome.com:4022/rtp/233.50.200.23:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 225.3523076923077fps
Name: CCTV9记录, URL: http://220.187.173.145:4022/rtp/233.50.200.23:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 221.2823076923077fps
Name: CCTV10科教, URL: http://ycsj.aguihome.com:4022/rtp/233.50.200.22:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 228.66615384615386fps
Name: CCTV10科教, URL: http://220.187.173.145:4022/rtp/233.50.200.22:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 225.24166666666667fps
Name: CCTV10科教, URL: http://ycsj.aguihome.com:4022/rtp/233.50.201.121:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 182.52333333333334fps
Name: CCTV10科教, URL: http://220.187.173.145:4022/rtp/233.50.200.87:5140$720x576, Date: None, Resolution: 720x576, Response Time: 240.7725fps
Name: CCTV10科教, URL: http://ycsj.aguihome.com:4022/rtp/233.50.200.87:5140$720x576, Date: None, Resolution: 720x576, Response Time: 240.59499999999997fps
Name: CCTV11戏曲, URL: http://220.187.173.145:4022/rtp/233.50.200.88:5140$720x576, Date: None, Resolution: 720x576, Response Time: 232.75083333333333fps
Name: CCTV11戏曲, URL: http://220.187.173.145:4022/rtp/233.50.201.11:5140$720x576, Date: None, Resolution: 720x576, Response Time: 232.69333333333336fps
Name: CCTV11戏曲, URL: http://ycsj.aguihome.com:4022/rtp/233.50.201.11:5140$720x576, Date: None, Resolution: 720x576, Response Time: 232.57583333333332fps
Name: CCTV11戏曲, URL: http://ycsj.aguihome.com:4022/rtp/233.50.200.88:5140$720x576, Date: None, Resolution: 720x576, Response Time: 230.54666666666665fps
Name: CCTV12社会与法, URL: http://220.187.173.145:4022/rtp/233.50.200.21:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 222.1276923076923fps
Name: CCTV12社会与法, URL: http://ycsj.aguihome.com:4022/rtp/233.50.200.21:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 219.33384615384614fps
Name: CCTV12社会与法, URL: http://ycsj.aguihome.com:4022/rtp/233.50.201.123:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 215.54166666666666fps
Name: CCTV12社会与法, URL: http://220.187.173.145:4022/rtp/233.50.201.123:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 205.78583333333336fps
Name: CCTV12社会与法, URL: http://ycsj.aguihome.com:4022/rtp/233.50.201.12:5140$720x576, Date: None, Resolution: 720x576, Response Time: 240.8618181818182fps
Name: CCTV12社会与法, URL: http://ycsj.aguihome.com:4022/rtp/233.50.200.90:5140$720x576, Date: None, Resolution: 720x576, Response Time: 239.93916666666667fps
Name: CCTV12社会与法, URL: http://183.130.2.188:8889/rtp/233.50.201.12:5140$720x576, Date: None, Resolution: 720x576, Response Time: 197.98222222222222fps
Name: CCTV12社会与法, URL: http://183.130.2.188:8889/rtp/233.50.200.90:5140$720x576, Date: None, Resolution: 720x576, Response Time: 122.05fps
Name: CCTV13新闻, URL: http://ycsj.aguihome.com:4022/rtp/233.50.201.246:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 191.171fps
Name: CCTV13新闻, URL: http://183.130.2.188:8889/rtp/233.50.201.246:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 142.14909090909092fps
Name: CCTV13新闻, URL: http://ycsj.aguihome.com:4022/rtp/233.50.201.13:5140$720x576, Date: None, Resolution: 720x576, Response Time: 247.00583333333333fps
Name: CCTV13新闻, URL: http://220.187.173.145:4022/rtp/233.50.200.49:5140$720x576, Date: None, Resolution: 720x576, Response Time: 244.63250000000002fps
Name: CCTV13新闻, URL: http://ycsj.aguihome.com:4022/rtp/233.50.200.49:5140$720x576, Date: None, Resolution: 720x576, Response Time: 242.70250000000001fps
Name: CCTV13新闻, URL: http://220.187.173.145:4022/rtp/233.50.201.13:5140$720x576, Date: None, Resolution: 720x576, Response Time: 241.67818181818183fps
Name: CCTV13新闻, URL: http://183.130.2.188:8889/rtp/233.50.200.49:5140$720x576, Date: None, Resolution: 720x576, Response Time: 238.08692307692309fps
Name: CCTV13新闻, URL: http://183.130.2.188:8889/rtp/233.50.201.13:5140$720x576, Date: None, Resolution: 720x576, Response Time: 237.68818181818182fps
Name: CCTV14少儿, URL: http://ycsj.aguihome.com:4022/rtp/233.50.201.124:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 224.55076923076922fps
Name: CCTV14少儿, URL: http://ycsj.aguihome.com:4022/rtp/233.50.200.20:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 170.55fps
Name: CCTV14少儿, URL: http://220.187.173.145:4022/rtp/233.50.201.14:5140$720x576, Date: None, Resolution: 720x576, Response Time: 234.90416666666667fps
Name: CCTV14少儿, URL: http://220.187.173.145:4022/rtp/233.50.200.50:5140$720x576, Date: None, Resolution: 720x576, Response Time: 233.18833333333333fps
Name: CCTV14少儿, URL: http://ycsj.aguihome.com:4022/rtp/233.50.201.14:5140$720x576, Date: None, Resolution: 720x576, Response Time: 232.9375fps
Name: CCTV14少儿, URL: http://ycsj.aguihome.com:4022/rtp/233.50.200.50:5140$720x576, Date: None, Resolution: 720x576, Response Time: 231.5725fps
Name: CCTV14少儿, URL: http://183.130.2.188:8889/rtp/233.50.200.50:5140$720x576, Date: None, Resolution: 720x576, Response Time: 217.6535294117647fps
Name: CCTV15音乐, URL: http://220.187.173.145:4022/rtp/233.50.201.15:5140$720x576, Date: None, Resolution: 720x576, Response Time: 250.67333333333335fps
Name: CCTV15音乐, URL: http://220.187.173.145:4022/rtp/233.50.200.91:5140$720x576, Date: None, Resolution: 720x576, Response Time: 246.42333333333335fps
Name: CCTV15音乐, URL: http://ycsj.aguihome.com:4022/rtp/233.50.201.15:5140$720x576, Date: None, Resolution: 720x576, Response Time: 246.17416666666668fps
Name: CCTV15音乐, URL: http://183.130.2.188:8889/rtp/233.50.200.91:5140$720x576, Date: None, Resolution: 720x576, Response Time: 241.40846153846152fps
Name: CCTV15音乐, URL: http://ycsj.aguihome.com:4022/rtp/233.50.200.91:5140$720x576, Date: None, Resolution: 720x576, Response Time: 240.5809090909091fps
Name: CCTV15音乐, URL: http://183.130.2.188:8889/rtp/233.50.201.15:5140$720x576, Date: None, Resolution: 720x576, Response Time: 239.21fps
Name: CCTV-17农村农业, URL: http://220.187.173.145:4022/rtp/233.50.201.35:5140$720x576, Date: None, Resolution: 720x576, Response Time: 228.92076923076922fps
Name: CCTV-17农村农业, URL: http://183.130.2.188:8889/rtp/233.50.201.35:5140$720x576, Date: None, Resolution: 720x576, Response Time: 228.51307692307694fps
Name: CCTV-17农村农业, URL: http://ycsj.aguihome.com:4022/rtp/233.50.201.35:5140$720x576, Date: None, Resolution: 720x576, Response Time: 228.32076923076923fps
Name: 浙江卫视, URL: http://ycsj.aguihome.com:4022/rtp/233.50.200.231:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 215.9425fps
Name: 浙江卫视, URL: http://ycsj.aguihome.com:4022/rtp/233.50.200.145:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 211.6681818181818fps
Name: 浙江卫视, URL: http://220.187.173.145:4022/rtp/233.50.200.145:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 203.744fps
Name: 浙江卫视, URL: http://183.130.2.188:8889/rtp/233.50.200.231:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 173.6877777777778fps
Name: 浙江卫视, URL: http://220.187.173.145:4022/rtp/233.50.200.231:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 169.1211111111111fps
Name: 浙江卫视, URL: http://ycsj.aguihome.com:4022/rtp/233.50.201.100:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 159.6075fps
Name: 浙江卫视, URL: http://ycsj.aguihome.com:4022/rtp/233.50.200.79:5140$720x576, Date: None, Resolution: 720x576, Response Time: 235.82333333333332fps
Name: 浙江卫视, URL: http://ycsj.aguihome.com:4022/rtp/233.50.201.27:5140$720x576, Date: None, Resolution: 720x576, Response Time: 232.90166666666667fps
Name: 浙江卫视, URL: http://ycsj.aguihome.com:4022/rtp/233.50.201.221:5140$720x576, Date: None, Resolution: 720x576, Response Time: 232.57fps
Name: 江苏卫视, URL: http://220.187.173.145:4022/rtp/233.50.200.144:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 223.79090909090908fps
Name: 江苏卫视, URL: http://ycsj.aguihome.com:4022/rtp/233.50.200.144:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 217.25583333333336fps
Name: 江苏卫视, URL: http://ycsj.aguihome.com:4022/rtp/233.50.201.106:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 212.24636363636364fps
Name: 江苏卫视, URL: http://ycsj.aguihome.com:4022/rtp/233.50.201.41:5140$720x576, Date: None, Resolution: 720x576, Response Time: 230.40615384615384fps
Name: 江苏卫视, URL: http://220.187.173.145:4022/rtp/233.50.200.66:5140$720x576, Date: None, Resolution: 720x576, Response Time: 229.01250000000002fps
Name: 江苏卫视, URL: http://ycsj.aguihome.com:4022/rtp/233.50.200.66:5140$720x576, Date: None, Resolution: 720x576, Response Time: 228.72846153846154fps
Name: 湖南卫视, URL: http://ycsj.aguihome.com:4022/rtp/233.50.200.190:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 234.10923076923078fps
Name: 湖南卫视, URL: http://220.187.173.145:4022/rtp/233.50.201.103:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 208.8853846153846fps
Name: 湖南卫视, URL: http://ycsj.aguihome.com:4022/rtp/233.50.201.103:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 193.50727272727272fps
Name: 湖南卫视, URL: http://ycsj.aguihome.com:4022/rtp/233.50.201.52:5140$720x576, Date: None, Resolution: 720x576, Response Time: 245.4725fps
Name: 湖南卫视, URL: http://220.187.173.145:4022/rtp/233.50.200.69:5140$720x576, Date: None, Resolution: 720x576, Response Time: 244.18916666666667fps
Name: 湖南卫视, URL: http://ycsj.aguihome.com:4022/rtp/233.50.200.69:5140$720x576, Date: None, Resolution: 720x576, Response Time: 243.105fps
Name: 北京卫视, URL: http://ycsj.aguihome.com:4022/rtp/233.50.200.179:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 234.63363636363636fps
Name: 北京卫视, URL: http://220.187.173.145:4022/rtp/233.50.201.107:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 225.03916666666666fps
Name: 北京卫视, URL: http://ycsj.aguihome.com:4022/rtp/233.50.201.107:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 165.43333333333334fps
Name: 北京卫视, URL: http://ycsj.aguihome.com:4022/rtp/233.50.201.40:5140$720x576, Date: None, Resolution: 720x576, Response Time: 230.0275fps
Name: 北京卫视, URL: http://ycsj.aguihome.com:4022/rtp/233.50.200.68:5140$720x576, Date: None, Resolution: 720x576, Response Time: 225.25833333333333fps
Name: 北京卫视, URL: http://183.130.2.188:8889/rtp/233.50.201.40:5140$720x576, Date: None, Resolution: 720x576, Response Time: 183.73923076923077fps
Name: 北京卫视, URL: http://183.130.2.188:8889/rtp/233.50.200.68:5140$720x576, Date: None, Resolution: 720x576, Response Time: 160.32999999999998fps
Name: 广东卫视, URL: http://220.187.173.145:4022/rtp/233.50.200.187:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 215.60916666666668fps
Name: 广东卫视, URL: http://ycsj.aguihome.com:4022/rtp/233.50.201.102:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 212.78538461538463fps
Name: 广东卫视, URL: http://ycsj.aguihome.com:4022/rtp/233.50.200.187:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 210.75166666666667fps
Name: 广东卫视, URL: http://183.130.2.188:8889/rtp/233.50.200.187:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 173.55416666666665fps
Name: 广东卫视, URL: http://ycsj.aguihome.com:4022/rtp/233.50.201.56:5140$720x576, Date: None, Resolution: 720x576, Response Time: 232.17153846153846fps
Name: 广东卫视, URL: http://183.130.2.188:8889/rtp/233.50.200.61:5140$720x576, Date: None, Resolution: 720x576, Response Time: 231.09666666666666fps
Name: 广东卫视, URL: http://220.187.173.145:4022/rtp/233.50.200.61:5140$720x576, Date: None, Resolution: 720x576, Response Time: 230.30384615384617fps
Name: 广东卫视, URL: http://ycsj.aguihome.com:4022/rtp/233.50.200.61:5140$720x576, Date: None, Resolution: 720x576, Response Time: 224.60666666666668fps
Name: 广东卫视, URL: http://183.130.2.188:8889/rtp/233.50.201.56:5140$720x576, Date: None, Resolution: 720x576, Response Time: 213.612fps
Name: 深圳卫视, URL: http://ycsj.aguihome.com:4022/rtp/233.50.201.101:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 235.60727272727274fps
Name: 深圳卫视, URL: http://220.187.173.145:4022/rtp/233.50.201.101:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 194.4675fps
Name: 深圳卫视, URL: http://ycsj.aguihome.com:4022/rtp/233.50.200.188:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 183.9fps
Name: 深圳卫视, URL: http://220.187.173.145:4022/rtp/233.50.200.188:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 172.81fps
Name: 深圳卫视, URL: http://183.130.2.188:8889/rtp/233.50.200.188:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 169.80428571428573fps
Name: 深圳卫视, URL: http://ycsj.aguihome.com:4022/rtp/233.50.201.45:5140$720x576, Date: None, Resolution: 720x576, Response Time: 239.91249999999997fps
